inflation,unemployment,exchange_rate,oil_price,call_rate,expected_inflation
13.8702461773683,20.182,22.71164658634538,20.04112840466926,12.0,8.97123250273255
11.7878170418134,20.257,28.155816733067727,19.319727626459144,12.0,13.8702461773683
6.32689048779867,20.35,31.291075697211156,17.013412698412697,12.0,11.7878170418134
10.2479355556119,20.265,31.393854581673306,15.856388888888889,12.0,6.32689048779867
10.2248861637545,20.202,32.41807370517928,17.01584980237154,12.0,10.2479355556119
8.97715233826453,20.118,35.50599603174604,20.6398031496063,12.0,10.2248861637545
7.16425211462721,20.185,36.36450996015936,19.10850806451613,9.0,8.97715233826453
13.2308389767977,20.224,41.35610714285714,12.75810276679842,9.0,7.16425211462721
4.6698203803759,20.19,43.12740079365079,17.90156626506024,8.0,13.2308389767977
4.0094359104519,20.198,44.99747619047619,28.66067193675889,8.0,4.6698203803759
3.77929312235637,20.422,47.21996,24.455719844357976,6.5,4.0094359104519
4.29715203929562,20.761,48.62569721115538,24.993254901960782,6.25,3.77929312235637
3.80585899528853,20.855,46.590796812749005,28.850813953488373,6.0,4.29715203929562
3.76725173477517,20.988,45.26098814229249,38.25969348659004,6.0,3.80585899528853
4.24634362031924,21.117,44.00019920318725,54.57455252918288,6.0,3.76725173477517
5.79652337561634,21.472,45.18605577689243,65.16176470588235,6.0,4.24634362031924
6.37288135593231,21.863,41.17740157480315,72.44116,6.0,5.79652337561634
8.34926704907575,22.417,43.385912698412696,96.94434782608695,6.0,6.37288135593231
10.8823529411764,22.862,48.33238095238095,61.73876984126984,6.0,8.34926704907575
11.9893899204245,23.299,45.65074297188755,79.60944444444445,6.0,10.8823529411764
8.9117933648336,23.641,46.578167330677296,111.26427419354839,6.0,11.9893899204245
9.47899691419793,24.135,53.37434302788845,111.57068273092369,9.0,8.9117933648336
10.0178784746104,24.473,58.51486055776892,108.555,8.75,9.47899691419793
6.66565671867899,24.709,60.995252,98.9696062992126,9.0,10.0178784746104
4.90697344127249,24.959,64.10725099601594,52.31654901960784,7.75,6.66565671867899
4.94821634062134,25.23,67.15717131474103,43.638000000000005,6.75,4.90697344127249
3.32817337461305,25.591,65.06594377510041,54.1248046875,6.25,4.94821634062134
3.93882646691643,26.003,68.37343775100402,71.335,6.75,3.32817337461305
3.72950573539123,22.947,70.37771084337349,64.30062256809337,5.4,3.93882646691643
6.6234367762853,24.666,74.14292,41.95725490196079,4.25,3.72950573539123
5.13140747176364,20.824,73.93510040160642,70.85533596837945,4.25,6.6234367762853
6.69903414079858,17.732,78.57916,100.93130952380952,6.43,5.13140747176364
5.64914318907925,15.595,82.57084337349397,82.49386454183266,6.75,6.69903414079858
4.95303550973661,15.746,83.65657370517928,80.52185039370079,6.75,5.64914318907925
2.39884954182294,16.022,87.14676,69.14264822134388,5.5,4.95303550973661
